ID,RADEG,DECDEG,CLASS,DATATABLE,i,g
SK009B,9.000958333333331,40.93866666666666,4.0,m31rbcV5,18.928,20.563
SK010B,9.007083333333332,39.813944444444445,4.0,m31rbcV5,23.625,25.043
SDSS1,9.0075,40.49722222222222,1.0,di_tullio_zinn_13_table1,20.134,21.417
SK011B,9.008416666666664,41.24538888888889,4.0,m31rbcV5,19.697,20.748
B291,9.0207333,42.0359222,1.0,m31rbcV5,25.786,25.662
SK012B,9.021275,40.9223111,2.0,m31rbcV5,23.876,25.182
SK026C,9.023374999999998,39.96802777777778,4.0,m31rbcV5,19.356,20.958
D,9.0358,39.29165,1.0,di_tullio_zinn_14_table1,21.413,22.149
DAO4,9.036675,39.9690667,4.0,m31rbcV5,19.403,20.612
SK009D,9.0374542,41.0230917,6.0,m31rbcV5,23.732,24.856
PAndAS-29,9.037833333333332,40.136069444444445,1.0,huxor14_table1,23.042,23.686
SK027C,9.0520917,40.8773389,4.0,m31rbcV5,18.975,20.338
B531,9.0614375,40.9657056,1.0,m31rbcV5,20.258,21.333
B292,9.0694417,40.97405,1.0,m31rbcV5,17.503,18.26
SK028C,9.0706583,41.4268222,2.0,m31rbcV5,21.944,23.008
C11,9.0775,28.317777777777778,2.0,di_tullio_zinn_13_table2,24.636,24.513
B414,9.081275,42.2749722,4.0,m31rbcV5,20.452,21.188
B293,9.0869375,40.8936806,1.0,m31rbcV5,20.834,21.648
B137D,9.0872,40.93335,6.0,m31rbcV5,21.925,23.597
SK010D,9.0885833,41.7428611,6.0,m31rbcV5,23.644,24.689
B138D,9.0902792,41.4758722,4.0,m31rbcV5,17.942,19.342
SK029C,9.09275,39.867916666666666,4.0,m31rbcV5,18.722,20.492
B139D,9.102829166666664,39.75206388888889,6.0,m31rbcV5,23.612,24.597
SK030C,9.114,41.58722222222222,4.0,m31rbcV5,20.418,22.496
SK011D,9.1140833,41.7257778,6.0,m31rbcV5,24.481,25.774
PAndAS-59,9.123041666666666,40.63800833333333,1.0,huxor14_table1,20.978,21.6
SK012D,9.1279167,40.6193333,6.0,m31rbcV5,23.792,24.707
